##NAMES=Spinel
##RRUFFID=R070013
##IDEAL CHEMISTRY=MgAl_2_O_4_
##LOCALITY=Bo Phloi, Kanchoutabori Province, Thailand
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Black glassy fragment with conchoidal fracture
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been made only by X-ray diffraction.
##URL=rruff.info/R070013
##MEASURED CHEMISTRY=(Mg_0.69_Fe^2+^_0.31_)_Σ=1_(Al_1.90_Fe^3+^_0.10_)_Σ=2_O_4_ ; trace of Mn, Ti and Cr
##CELL PARAMETERS=a: 8.1297(1) b: 8.1297(1) c: 8.1297(1) alpha: 90 beta: 90 gamma: 90 volume: 537.31(2) crystal system: cubic
9.520000, 8.897911
9.530000, 5.911903
9.540000, 15.92596
9.550000, 19.94006
9.560000, 25.95424
9.570000, 4.599083
9.580000, 6.613388
9.590000, 24.62777
9.600000, 4.642220
9.610000, 18.65674
9.620000, 23.67134
9.630000, 16.74347
9.640000, 30.76144
9.650000, 9.779480
9.660000, 6.797577
9.670000, 3.815727
9.680000, 6.833954
9.690000, 26.85224
9.700000, 8.870598
9.710000, 13.88902
9.720000, 36.90752
9.730000, 18.92606
9.740000, 20.94466
9.750000, 16.96358
9.760000, 23.98256
9.770000, 8.001862
9.780000, 3.978783
9.790000, 5.038383
9.800000, 17.05561
9.810000, 14.07288
9.820000, 2.090210
9.830000, 5.107559
9.840000, 19.12498
9.850000, 5.142433
9.860000, 0.1599350
9.870000, 13.17735
9.880000, 10.19481
9.890000, 15.21230
9.900000, 8.229843
9.910000, 14.24742
9.920000, 11.26514
9.930000, 27.28291
9.940000, 21.74656
9.950000, 6.764687
9.960000, 21.78287
9.970000, 0.1989670
9.980000, 4.805237
9.990000, 14.82304
10.00000, 22.71950
10.01000, 9.737335
10.02000, 16.75519
10.03000, 3.226952
10.04000, 11.78898
10.05000, 16.80492
10.06000, 1.179123
10.07000, 25.83595
10.08000, 16.85104
10.09000, 39.86714
10.10000, 11.88323
10.11000, 28.90048
10.12000, 11.91874
10.13000, 26.37597
10.14000, 19.65782
10.15000, 5.676147
10.16000, 3.694481
10.17000, 18.71284
10.18000, 12.73122
10.19000, 12.74963
10.20000, 22.76804
10.21000, 7.786453
10.22000, 19.80489
10.23000, 9.956589
