##NAMES=Bindheimite
##RRUFFID=R050546
##IDEAL CHEMISTRY=Pb^2+^_2_Sb^5+^_2_O_7_
##LOCALITY=Arabia District, Pershing County, Nevada, USA
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Yellow-brown coarsely fibrous massive, intimately mixed with mimetite
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050546
##MEASURED CHEMISTRY=(Pb_1.33_Fe_0.47_Ca_0.20_)_Σ=2_(Sb^5+^_1.97_As^5+^_0.03_)_Σ=2_O_7_  ;(darker phase, with trace amounts of Na);   (Pb_4.07_Ca_0.92_Fe_0.01_)_Σ=5_((As_2.97_Sb_0.03_)_Σ=1_O_4_)_3_Cl_1.00_ (lighter phase = mimetite)
##CELL PARAMETERS=a: 10.4424(8) b: 10.4424(8) c: 10.4424(8) alpha: 90 beta: 90 gamma: 90 volume: 1138.7(3) crystal system: cubic
10.50000, 10.92372
10.51000, 3.927714
10.52000, 1.931675
10.53000, 6.935605
10.54000, 2.939506
10.55000, 1.943381
10.56000, 1.947249
10.57000, 4.8432000E-02
10.58000, 5.983639
10.59000, 4.984723
10.60000, 3.988914
10.61000, 7.955000
10.62000, 2.959135
10.63000, 1.052651
10.64000, 6.056732
10.65000, 6.060783
10.66000, 4.064805
10.67000, 9.068803
10.68000, 8.072767
10.69000, 5.076724
10.70000, 8.168515
10.71000, 1.172428
10.72000, 0.1763090
10.73000, 0.1801590
10.74000, 4.206813
10.75000, 2.211262
10.76000, 0.2160360
10.77000, 2.220767
10.78000, 6.225464
10.79000, 8.133312
10.80000, 2.138258
10.81000, 6.143179
10.82000, 4.148076
10.83000, 5.152997
10.84000, 1.126044
10.85000, 7.131482
10.86000, 3.136935
10.87000, 1.142368
10.88000, 6.288266
10.89000, 3.293679
10.90000, 6.299064
10.91000, 0.3044480
10.92000, 7.309796
10.93000, 4.315169
10.94000, 4.320522
10.95000, 7.325845
10.96000, 10.33114
10.97000, 8.335238
10.98000, 0.3404940
10.99000, 9.345716
11.00000, 10.35090
11.01000, 4.356069
11.02000, 4.361204
11.03000, 3.365442
11.04000, 4.370542
11.05000, 3.375615
11.06000, 5.379925
11.07000, 2.364491
11.08000, 4.369486
11.09000, 5.386166
11.10000, 0.6088900
11.11000, 0.3956620
11.12000, 2.399766
11.13000, 10.47964
11.14000, 2.484107
11.15000, 7.488546
11.16000, 12.49296
11.17000, 6.497341
11.18000, 2.501697
11.19000, 0.5060260
11.20000, 3.510324
11.21000, 7.440013
11.22000, 6.507297
11.23000, 7.511583
11.24000, 4.515845
11.25000, 4.510175
11.26000, 1.514461
11.27000, 4.518722
11.28000, 2.514169
11.29000, 5.518385
11.30000, 10.52258
11.31000, 2.526752
11.32000, 6.530962
11.33000, 5.535203
11.34000, 9.539424
11.35000, 4.543624
11.36000, 5.547867
11.37000, 4.552088
11.38000, 2.556289
11.39000, 6.560468
11.40000, 3.564672
11.41000, 2.568853
11.42000, 2.573013
11.43000, 1.577150
11.44000, 5.581302
11.45000, 8.585435
11.46000, 9.589549
11.47000, 2.593640
11.48000, 5.597707
11.49000, 4.602038
11.50000, 0.6063470
11.51000, 5.610632
11.52000, 4.607870
11.53000, 2.612651
11.54000, 3.617415
11.55000, 4.622158
11.56000, 0.3728630
11.57000, 2.631854
11.58000, 2.636552
11.59000, 7.641231
11.60000, 3.577847
11.61000, 3.582497
11.62000, 6.587132
11.63000, 6.598901
11.64000, 3.603532
11.65000, 3.608154
11.66000, 3.612766
11.67000, 1.617381
11.68000, 4.617332
11.69000, 5.556490
11.70000, 4.561075
11.71000, 5.565653
11.72000, 2.570222
11.73000, 1.574785
11.74000, 2.579342
11.75000, 1.583893
11.76000, 4.588438
11.77000, 0.4103230
11.78000, 5.593945
11.79000, 7.598218
11.80000, 3.602483
11.81000, 2.606915
11.82000, 1.388421
11.83000, 5.615463
11.84000, 3.619340
11.85000, 3.623212
11.86000, 0.6273130
11.87000, 0.6314090
11.88000, 5.635499
