##NAMES=Triphylite
##RRUFFID=R050624
##IDEAL CHEMISTRY=LiFe^2+^PO_4_
##LOCALITY=Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Gemological Center
##DESCRIPTION=Brown fragment
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050624
##MEASURED CHEMISTRY=Li_1.00_(Fe^2+^_0.55_Mn^2+^_0.45_)_Σ=1_P_1.00_O_4_ ; Li not measured, but estimated by difference
##CELL PARAMETERS=a: 4.7165(9) b: 10.3827(8) c: 6.0468(8) alpha: 90. beta: 90. gamma: 90. volume: 296.11(4) crystal system: orthorhombic
10.580, 8.599
10.590, 9.577
10.600, 5.556
10.610, 0.496
10.620, 23.484
10.630, 5.462
10.640, 7.442
10.650, 6.420
10.660, 4.399
10.670, 14.379
10.680, 21.359
10.690, 15.339
10.700, 8.320
10.710, 17.300
10.720, 13.281
10.730, 14.262
10.740, 29.120
10.750, 12.101
10.760, 16.083
10.770, 18.065
10.780, 4.047
10.790, 11.029
10.800, 13.011
10.810, 14.996
10.820, 10.175
10.830, 8.160
10.840, 16.109
10.850, 11.092
10.860, 11.079
10.870, 10.065
10.880, 11.052
10.890, 20.037
10.900, 8.024
10.910, 8.916
10.920, 20.994
10.930, 11.980
10.940, 16.967
10.950, 19.918
10.960, 14.905
10.970, 6.891
10.980, 1.527
10.990, 11.993
11.000, 9.978
11.010, 6.964
11.020, 3.951
11.030, 24.937
11.040, 14.923
11.050, 16.910
11.060, 11.069
11.070, 14.055
11.080, 22.042
11.090, 19.856
11.100, 33.842
11.110, 14.829
11.120, 19.816
11.130, 3.804
11.140, 1.792
11.150, 1.848
11.160, 8.766
11.170, 4.568
11.180, 14.553
11.190, 1.254
11.200, 29.240
11.210, 12.227
11.220, 19.213
11.230, 2.973
11.240, 18.961
11.250, 10.947
11.260, 16.934
11.270, 8.921
11.280, 5.908
11.290, 21.896
11.300, 1.497
11.310, 22.687
11.320, 14.673
11.330, 0.659
11.340, 15.646
11.350, 10.633
11.360, 11.621
11.370, 9.609
11.380, 4.598
11.390, 0.399
11.400, 0.612
11.410, 22.377
11.420, 23.180
11.430, 19.725
11.440, 6.713
11.450, 0.702
11.460, 26.693
11.470, 21.682
11.480, 9.671
11.490, 20.662
11.500, 20.651
11.510, 7.643
11.520, 18.445
11.530, 8.248
11.540, 11.426
11.550, 12.418
11.560, 27.587
11.570, 7.388
11.580, 7.381
11.590, 18.373
11.600, 19.365
11.610, 2.357
11.620, 1.524
11.630, 7.339
11.640, 3.132
11.650, 19.122
11.660, 1.112
11.670, 12.104
11.680, 5.094
11.690, 4.086
11.700, 18.077
11.710, 2.807
11.720, 6.058
11.730, 9.046
11.740, 2.035
11.750, 11.023
11.760, 15.013
11.770, 13.002
11.780, 18.991
11.790, 26.981
11.800, 6.971
11.810, 5.096
11.820, 15.087
11.830, 31.077
