##NAMES=Slavikite
##RRUFFID=R080048
##IDEAL CHEMISTRY=(H_3_O)^1+^_3_Mg_6_Fe^3+^_15_(S^6+^O_4_)_21_(OH)_18_&#183;98H_2_O
##LOCALITY=Mandat, Bohmen, Czech Republic
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Mustard yellow, massive efflorescence
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R080048
15.57000, 108.1610
15.59000, 75.29300
15.61000, 46.31232
15.63000, 30.08987
15.65000, 23.57669
15.67000, 33.60266
15.69000, 42.24265
15.71000, 55.63080
15.73000, 81.05289
15.75000, 112.4568
15.77000, 155.1348
15.79000, 192.0795
15.81000, 233.0289
15.83000, 277.0064
15.85000, 330.0352
15.87000, 376.9256
15.89000, 431.6416
15.91000, 486.4542
15.93000, 538.4221
15.95000, 593.9085
15.97000, 647.8371
15.99000, 685.2380
16.01000, 701.2213
16.03000, 721.8867
16.05000, 714.9141
16.07000, 677.7537
16.09000, 647.5955
16.11000, 610.6390
16.13000, 548.1944
16.15000, 478.4567
16.17000, 397.8150
16.19000, 328.9538
16.21000, 265.7844
16.23000, 213.4824
16.25000, 155.8481
16.27000, 99.22702
16.29000, 62.15930
16.31000, 32.81378
16.33000, 8.695496
16.35000, 6.549683
16.37000, 10.37018
16.39000, 7.883759
16.41000, 9.864685
16.43000, 7.517670
16.45000, 13.86987
16.47000, 16.59869
16.49000, 30.78018
16.51000, 47.02716
16.53000, 63.39838
16.55000, 70.32834
16.57000, 74.68372
16.59000, 72.91931
16.61000, 73.37241
16.63000, 71.52997
16.65000, 67.32968
16.67000, 62.63153
16.69000, 55.62155
16.71000, 44.34772
16.73000, 33.87204
16.75000, 22.37741
16.77000, 13.53177
16.79000, 7.733002
16.81000, 5.178314
16.83000, 0.3652950
16.85000, 1.447418
16.87000, 3.557709
16.89000, 4.939087
16.91000, 8.524292
16.93000, 3.760468
16.95000, 0.6596070
16.97000, 4.345825
16.99000, 13.11292
17.01000, 24.69819
17.03000, 45.51007
17.05000, 62.53116
17.07000, 91.30411
17.09000, 120.6114
17.11000, 149.6252
17.13000, 189.0031
17.15000, 224.9141
17.17000, 263.5523
17.19000, 310.1012
17.21000, 352.8873
17.23000, 388.0224
17.25000, 425.3618
17.27000, 466.9035
17.29000, 493.3171
17.31000, 518.7074
17.33000, 524.3605
17.35000, 523.5743
17.37000, 503.5696
17.39000, 473.1687
17.41000, 436.4274
17.43000, 392.1505
17.45000, 346.4531
17.47000, 310.5483
17.49000, 273.3923
17.51000, 254.6539
17.53000, 241.0347
17.55000, 226.0156
17.57000, 227.0791
17.59000, 238.6176
17.61000, 252.1321
17.63000, 271.2612
17.65000, 289.8990
17.67000, 331.2920
17.69000, 370.6796
17.71000, 401.7879
17.73000, 439.5086
17.75000, 479.3341
17.77000, 520.6381
17.79000, 542.1237
17.81000, 561.9865
17.83000, 587.4882
17.85000, 594.5992
17.87000, 593.6075
17.89000, 587.2195
17.91000, 569.7228
17.93000, 532.0322
17.95000, 491.6591
17.97000, 455.5193
17.99000, 391.0668
18.01000, 330.6035
18.03000, 271.7386
18.05000, 219.7145
18.07000, 178.6976
18.09000, 135.5038
18.11000, 105.8259
18.13000, 90.25812
18.15000, 71.88434
18.17000, 56.65955
18.19000, 44.67078
18.21000, 42.39899
18.23000, 52.92410
18.25000, 67.74829
18.27000, 85.84351
18.29000, 112.8248
18.31000, 140.1783
18.33000, 176.8207
18.35000, 229.2670
18.37000, 293.9974
18.39000, 363.4338
18.41000, 430.8891
18.43000, 500.3093
18.45000, 565.8984
18.47000, 626.2403
18.49000, 677.6871
18.51000, 706.5258
18.53000, 717.0491
18.55000, 713.7873
18.57000, 688.9600
18.59000, 643.2977
18.61000, 593.0302
18.63000, 541.9232
18.65000, 469.1309
18.67000, 395.0442
18.69000, 309.3311
18.71000, 242.8077
18.73000, 178.3398
18.75000, 119.3230
18.77000, 76.60065
18.79000, 42.46573
18.81000, 21.31851
18.83000, 0.2129210
18.85000, 13.21237
18.87000, 22.37045
18.89000, 21.83911
18.91000, 12.68008
18.93000, 4.065582
18.95000, 18.75687
18.97000, 54.09210
18.99000, 86.44394
19.01000, 123.7984
19.03000, 170.0894
19.05000, 215.2301
19.07000, 249.2653
19.09000, 272.4471
19.11000, 298.3225
19.13000, 313.1775
19.15000, 324.2390
19.17000, 326.6571
19.19000, 318.0818
19.21000, 297.6900
19.23000, 257.0659
19.25000, 209.7292
19.27000, 166.9097
19.29000, 127.1290
19.31000, 98.07208
19.33000, 53.55923
19.35000, 24.12091
19.37000, 5.278992
19.39000, 14.00757
19.41000, 23.95032
19.43000, 34.65936
19.45000, 42.87033
19.47000, 40.44659
19.49000, 41.21768
19.51000, 34.21808
19.53000, 27.65051
19.55000, 19.76013
19.57000, 7.524597
19.59000, 1.512421
19.61000, 14.78006
19.63000, 33.47995
19.65000, 51.13885
19.67000, 78.06686
19.69000, 103.8870
19.71000, 134.6133
19.73000, 152.4798
19.75000, 183.5565
19.77000, 204.3984
19.79000, 221.9296
19.81000, 241.9740
19.83000, 261.3218
19.85000, 270.8482
19.87000, 284.1121
19.89000, 291.4440
19.91000, 291.3276
19.93000, 291.7497
19.95000, 287.4583
19.97000, 269.6115
19.99000, 266.6001
20.01000, 273.0997
20.03000, 276.4081
20.05000, 276.3885
20.07000, 273.4904
20.09000, 260.6166
20.11000, 240.6604
20.13000, 221.1248
20.15000, 206.2489
20.17000, 183.9307
20.19000, 159.2938
20.21000, 136.3618
20.23000, 106.6873
20.25000, 83.34207
20.27000, 68.91608
20.29000, 47.38779
20.31000, 35.09128
20.33000, 30.51120
20.35000, 34.16922
20.37000, 38.50775
20.39000, 39.88998
20.41000, 38.07907
20.43000, 40.87201
20.45000, 48.54187
20.47000, 64.18076
20.49000, 75.26965
20.51000, 96.46387
20.53000, 110.1163
20.55000, 121.2905
20.57000, 129.2476
20.59000, 137.1417
20.61000, 141.0618
20.63000, 145.8015
20.65000, 147.9410
20.67000, 155.5973
20.69000, 155.0154
20.71000, 172.6032
20.73000, 184.8794
20.75000, 198.8330
20.77000, 206.0811
20.79000, 215.9956
20.81000, 234.4366
20.83000, 246.9824
20.85000, 277.6494
20.87000, 282.3352
20.89000, 302.4785
20.91000, 323.6515
20.93000, 334.7333
20.95000, 346.1838
20.97000, 361.3850
20.99000, 366.4971
21.01000, 376.7269
21.03000, 392.9756
21.05000, 396.4972
21.07000, 404.9268
21.09000, 404.3922
21.11000, 389.8175
21.13000, 381.0750
21.15000, 367.0033
21.17000, 347.8591
21.19000, 346.8012
21.21000, 348.9969
21.23000, 338.8850
21.25000, 344.5144
21.27000, 349.3329
21.29000, 353.4299
21.31000, 367.8623
21.33000, 390.0157
21.35000, 411.5874
21.37000, 432.2835
21.39000, 457.9470
21.41000, 483.6386
21.43000, 505.8255
21.45000, 525.1217
21.47000, 538.5923
21.49000, 536.1953
21.51000, 545.9205
21.53000, 569.9411
21.55000, 595.2064
21.57000, 618.9341
21.59000, 653.6804
21.61000, 677.4755
21.63000, 716.5111
21.65000, 752.0471
21.67000, 776.5546
21.69000, 804.5936
21.71000, 824.0352
21.73000, 846.8484
21.75000, 863.6605
21.77000, 868.9348
21.79000, 867.7041
21.81000, 853.7050
21.83000, 823.7556
21.85000, 799.4484
21.87000, 756.2770
21.89000, 708.7321
21.91000, 671.5723
21.93000, 627.4218
21.95000, 598.7737
21.97000, 564.7021
21.99000, 515.7694
22.01000, 471.1900
22.03000, 400.2671
22.05000, 343.6399
22.07000, 282.7420
22.09000, 236.1173
22.11000, 186.7929
22.13000, 139.8138
22.15000, 104.0850
22.17000, 65.79956
22.19000, 33.12650
22.21000, 2.499908
22.23000, 16.34830
22.25000, 22.22867
22.27000, 24.24496
22.29000, 21.23608
22.31000, 5.679535
22.33000, 22.97546
22.35000, 51.49414
22.37000, 84.12744
22.39000, 125.3044
22.41000, 158.3680
22.43000, 189.7562
22.45000, 228.6230
22.47000, 261.4617
22.49000, 292.4961
22.51000, 314.2902
22.53000, 329.5941
22.55000, 336.2112
22.57000, 341.6528
22.59000, 349.6913
22.61000, 343.3557
22.63000, 342.3351
22.65000, 343.5597
22.67000, 327.8423
22.69000, 311.9035
22.71000, 304.2676
22.73000, 293.8553
22.75000, 290.5370
22.77000, 292.7690
22.79000, 297.6891
22.81000, 310.5968
22.83000, 319.8087
22.85000, 328.8406
22.87000, 342.7043
22.89000, 354.3066
22.91000, 356.7476
22.93000, 364.4956
22.95000, 384.8288
22.97000, 400.9487
22.99000, 423.1036
23.01000, 441.2355
23.03000, 457.3590
23.05000, 474.6094
23.07000, 490.7429
23.09000, 502.5010
23.11000, 504.0426
23.13000, 505.4336
23.15000, 509.1871
23.17000, 523.2183
23.19000, 514.5639
23.21000, 502.0791
23.23000, 488.7561
23.25000, 449.0847
23.27000, 408.8629
23.29000, 373.7200
23.31000, 335.9239
23.33000, 302.7020
23.35000, 264.9357
23.37000, 238.4329
23.39000, 205.0010
23.41000, 173.3370
23.43000, 139.6310
23.45000, 102.3699
23.47000, 76.07086
23.49000, 55.39279
23.51000, 57.88074
23.53000, 69.80383
23.55000, 89.66699
23.57000, 110.8883
23.59000, 136.7230
23.61000, 169.3143
23.63000, 205.8401
23.65000, 225.7118
23.67000, 247.8067
23.69000, 272.7869
23.71000, 290.5139
23.73000, 307.1026
23.75000, 315.6555
23.77000, 312.5530
23.79000, 305.6620
23.81000, 284.5725
23.83000, 254.5667
23.85000, 242.0636
23.87000, 225.4711
23.89000, 213.0296
23.91000, 212.1530
23.93000, 223.8003
23.95000, 240.1436
23.97000, 252.3268
23.99000, 264.0761
24.01000, 278.9063
24.03000, 301.6647
24.05000, 327.8541
24.07000, 344.6536
24.09000, 366.0201
24.11000, 379.5127
24.13000, 389.6253
24.15000, 390.8622
24.17000, 374.3496
24.19000, 354.7498
24.21000, 335.1732
24.23000, 301.5515
24.25000, 275.9222
24.27000, 235.5834
24.29000, 190.3875
24.31000, 153.3404
24.33000, 117.6185
24.35000, 104.5327
24.37000, 100.7858
24.39000, 101.8093
24.41000, 118.5350
24.43000, 138.8774
24.45000, 166.2910
24.47000, 200.1079
24.49000, 248.4370
24.51000, 282.3604
24.53000, 304.9161
24.55000, 338.0790
24.57000, 367.3592
24.59000, 383.8297
24.61000, 397.0074
24.63000, 402.8752
24.65000, 396.3014
24.67000, 381.5905
24.69000, 358.6869
24.71000, 323.9687
24.73000, 268.0313
24.75000, 224.4993
24.77000, 173.5700
24.79000, 140.1541
24.81000, 117.4968
24.83000, 86.76593
24.85000, 65.27866
24.87000, 42.78787
24.89000, 34.59053
24.91000, 17.70212
24.93000, 25.92377
24.95000, 28.24628
24.97000, 22.16867
24.99000, 20.37109
25.01000, 10.10263
25.03000, 9.0240002E-02
25.05000, 7.488617
25.07000, 16.85373
25.09000, 32.49698
25.11000, 33.02716
25.13000, 34.88727
25.15000, 41.93814
25.17000, 35.82764
25.19000, 31.02469
25.21000, 31.56537
25.23000, 17.37363
25.25000, 4.840485
25.27000, 3.291107
25.29000, 17.28049
25.31000, 23.29971
25.33000, 28.06854
25.35000, 37.18130
25.37000, 48.71841
25.39000, 48.94095
25.41000, 35.05798
25.43000, 22.22833
25.45000, 7.536621
25.47000, 11.07861
25.49000, 30.87741
25.51000, 61.22086
25.53000, 85.12787
25.55000, 118.7576
25.57000, 164.3529
25.59000, 202.1299
25.61000, 225.1005
25.63000, 228.6658
25.65000, 233.9487
25.67000, 242.2032
25.69000, 240.0225
25.71000, 216.3105
25.73000, 205.2030
25.75000, 199.8624
25.77000, 182.2043
25.79000, 165.3820
25.81000, 146.1204
25.83000, 116.6024
25.85000, 96.68918
25.87000, 73.94666
25.89000, 54.17258
25.91000, 38.43414
25.93000, 21.75443
25.95000, 11.31381
25.97000, 1.672913
25.99000, 6.595551
26.01000, 1.880463
26.03000, 6.990906
26.05000, 29.44049
26.07000, 63.84656
26.09000, 92.22461
26.11000, 138.1542
26.13000, 184.6163
26.15000, 240.4582
26.17000, 306.7883
26.19000, 397.9012
26.21000, 464.7845
26.23000, 532.9971
26.25000, 614.5795
26.27000, 684.3254
26.29000, 727.5742
26.31000, 770.5601
26.33000, 801.6920
26.35000, 818.4881
26.37000, 832.5378
26.39000, 852.1608
26.41000, 850.7175
26.43000, 852.8124
26.45000, 830.6210
26.47000, 836.8277
26.49000, 828.5980
26.51000, 812.1516
26.53000, 771.9589
26.55000, 726.1289
26.57000, 695.2128
26.59000, 648.5497
26.61000, 603.5002
26.63000, 574.3334
26.65000, 543.3299
26.67000, 499.2693
26.69000, 463.6238
26.71000, 442.3941
26.73000, 424.0931
26.75000, 385.9870
26.77000, 366.0405
26.79000, 366.4296
26.81000, 360.7835
26.83000, 356.4398
26.85000, 355.0469
26.87000, 353.5746
26.89000, 375.1689
26.91000, 397.4058
26.93000, 394.9362
26.95000, 397.7811
26.97000, 393.8578
26.99000, 382.1068
27.01000, 388.6445
27.03000, 376.1110
27.05000, 350.9977
27.07000, 324.6569
27.09000, 304.5259
27.11000, 275.0414
27.13000, 250.0170
27.15000, 211.9149
27.17000, 163.8502
27.19000, 128.0998
27.21000, 94.66061
27.23000, 76.45880
27.25000, 51.10220
27.27000, 30.16891
27.29000, 11.48483
27.31000, 9.031921
27.33000, 7.290009
27.35000, 7.760620
27.37000, 13.94348
27.39000, 11.16345
27.41000, 14.70465
27.43000, 25.55573
27.45000, 40.55600
27.47000, 43.62579
27.49000, 60.62207
27.51000, 72.54895
27.53000, 83.61221
27.55000, 101.4230
27.57000, 135.4052
27.59000, 158.6878
27.61000, 185.7079
27.63000, 209.2083
27.65000, 227.7542
27.67000, 249.3279
27.69000, 261.8923
27.71000, 270.1812
27.73000, 281.0401
27.75000, 283.3001
27.77000, 278.2822
27.79000, 278.6749
27.81000, 268.8127
27.83000, 254.5280
27.85000, 229.5486
27.87000, 207.7783
27.89000, 187.8601
27.91000, 167.0320
27.93000, 143.0139
27.95000, 128.0218
27.97000, 108.9168
27.99000, 91.95981
28.01000, 67.52075
28.03000, 54.49673
28.05000, 49.78964
28.07000, 44.73849
28.09000, 41.30930
28.11000, 31.20392
28.13000, 36.71249
28.15000, 64.50305
28.17000, 94.55750
28.19000, 108.7168
28.21000, 137.8721
28.23000, 166.6343
28.25000, 207.0366
28.27000, 241.7112
28.29000, 277.1187
28.31000, 306.3119
28.33000, 324.8035
28.35000, 322.4213
28.37000, 325.3690
28.39000, 329.1127
28.41000, 319.6750
28.43000, 316.4333
28.45000, 294.6123
28.47000, 268.6498
28.49000, 245.5472
28.51000, 221.8439
28.53000, 185.0340
28.55000, 156.6720
28.57000, 126.5446
28.59000, 108.8666
28.61000, 89.07224
28.63000, 74.60907
28.65000, 61.54373
28.67000, 44.30389
28.69000, 33.30130
28.71000, 36.94073
28.73000, 40.13449
28.75000, 47.72510
28.77000, 59.46466
28.79000, 60.75882
28.81000, 66.39993
28.83000, 89.76593
28.85000, 111.6439
28.87000, 124.4385
28.89000, 147.0332
28.91000, 172.5287
28.93000, 191.1989
28.95000, 228.6770
28.97000, 262.4808
28.99000, 292.7285
29.01000, 293.6328
29.03000, 311.2889
29.05000, 323.9617
29.07000, 322.0162
29.09000, 324.8973
29.11000, 321.2261
29.13000, 319.1876
29.15000, 311.1297
29.17000, 288.1954
29.19000, 271.8597
29.21000, 245.6805
29.23000, 220.8060
29.25000, 205.2629
29.27000, 187.9794
29.29000, 160.9573
29.31000, 128.7169
29.33000, 97.47586
29.35000, 60.53030
29.37000, 41.37317
29.39000, 26.24155
29.41000, 10.10428
29.43000, 7.551392
29.45000, 7.349121
29.47000, 13.78922
29.49000, 2.573242
