##NAMES=Zunyite
##RRUFFID=R050263
##IDEAL CHEMISTRY=Al_13_Si_5_O_20_(OH,F)_18_Cl
##LOCALITY=Ruby Mountain, Tintic District, Utah, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Colorless tetrahedral crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050263
##MEASURED CHEMISTRY=Al_13.00_Si_5.00_O_20_((OH)_14.80_F_3.20_)_Σ=18_Cl_1.00_ ; gray phase. (Al_12.92_Fe^3+^_0.08_)_Σ=13_Si_5.00_O_20_((OH)_14.86_F_3.14_)_Σ=18_Cl_1.00_ rim, lighter phase
##CELL PARAMETERS=a: 13.8704(3) b: 13.8704(3) c: 13.8704(3) alpha: 90 beta: 90 gamma: 90 volume: 2668.5(0) crystal system: cubic
10.30000, 3.079185
10.31000, 19.06582
10.32000, 6.965214
10.33000, 5.951908
10.34000, 6.1365001E-02
10.35000, 5.925344
10.36000, 16.91209
10.37000, 1.101122
10.38000, 0.8851680
10.39000, 2.871502
10.40000, 12.85788
10.41000, 10.84430
10.42000, 9.830761
10.43000, 6.817402
10.44000, 2.804090
10.45000, 2.808846
10.46000, 1.176422
10.47000, 13.16172
10.48000, 10.14706
10.49000, 11.13243
10.50000, 11.11784
10.51000, 2.896711
10.52000, 15.08723
10.53000, 10.07121
10.54000, 9.730450
10.55000, 3.694862
10.56000, 0.3201790
10.57000, 3.664707
10.58000, 7.869648
10.59000, 12.85466
10.60000, 12.83972
10.61000, 2.824846
10.62000, 20.81003
10.63000, 0.2047290
10.64000, 5.323088
10.65000, 3.308359
10.66000, 13.29000
10.67000, 5.275457
10.68000, 6.261002
10.69000, 7.246643
10.70000, 6.322693
10.71000, 23.30969
10.72000, 17.29678
10.73000, 15.28486
10.74000, 15.27305
10.75000, 5.261322
10.76000, 3.249693
10.77000, 4.238163
10.78000, 10.25657
10.79000, 10.24546
10.80000, 21.23446
10.81000, 14.22355
10.82000, 14.21275
10.83000, 2.202065
10.84000, 15.19148
10.85000, 12.18108
10.86000, 4.377808
10.87000, 18.32354
10.88000, 15.31400
10.89000, 41.30529
10.90000, 35.31469
10.91000, 30.30618
10.92000, 33.29778
10.93000, 37.42482
10.94000, 57.23935
10.95000, 64.23125
10.96000, 45.23877
10.97000, 94.23088
10.98000, 80.10619
10.99000, 117.0986
11.00000, 150.1555
11.01000, 193.1488
11.02000, 214.1432
11.03000, 287.1378
11.04000, 403.1325
11.05000, 483.1273
11.06000, 696.1224
11.07000, 747.1174
11.08000, 828.1125
11.09000, 807.1079
11.10000, 680.1033
11.11000, 572.0986
11.12000, 398.0956
11.13000, 264.0925
11.14000, 179.0896
11.15000, 117.0868
11.16000, 75.08408
11.17000, 63.18153
11.18000, 46.17905
11.19000, 37.17670
11.20000, 30.27349
11.21000, 29.27208
11.22000, 28.27078
11.23000, 20.26960
11.24000, 18.26853
11.25000, 25.26761
11.26000, 33.26685
11.27000, 11.26620
11.28000, 16.26566
11.29000, 11.26525
11.30000, 13.26496
11.31000, 15.26537
11.32000, 19.26649
11.33000, 12.26773
11.34000, 6.270578
11.35000, 8.273540
11.36000, 12.27662
11.37000, 7.279825
11.38000, 3.283150
11.39000, 21.28660
11.40000, 12.29020
11.41000, 7.294079
11.42000, 8.298103
11.43000, 5.302246
11.44000, 10.30651
11.45000, 10.31090
11.46000, 5.315405
11.47000, 9.321251
11.48000, 24.32722
11.49000, 0.6666930
11.50000, 10.33919
11.51000, 8.345200
11.52000, 1.351730
11.53000, 4.358389
11.54000, 3.362982
11.55000, 13.36988
11.56000, 6.376904
11.57000, 16.32978
11.58000, 5.337059
11.59000, 9.344463
11.60000, 4.351992
11.61000, 6.359648
11.62000, 10.36743
11.63000, 8.375336
11.64000, 6.616638
11.65000, 3.216675
11.66000, 11.22228
11.67000, 6.228016
11.68000, 12.23389
11.69000, 13.23989
11.70000, 13.24603
11.71000, 7.077192
11.72000, 17.08361
11.73000, 6.090164
11.74000, 9.098263
11.75000, 6.107807
11.76000, 19.10626
11.77000, 3.885113
11.78000, 10.12172
11.79000, 6.128700
11.80000, 12.13581
11.81000, 8.143068
11.82000, 6.150459
11.83000, 7.150463
11.84000, 8.160080
11.85000, 5.169840
11.86000, 11.17975
11.87000, 12.18980
11.88000, 18.19999
11.89000, 1.789684
11.90000, 6.219938
11.91000, 18.22969
11.92000, 16.23958
11.93000, 5.249596
11.94000, 12.25974
11.95000, 12.27000
