##NAMES=Yttrotungstite-(Y)
##RRUFFID=R050569
##IDEAL CHEMISTRY=Y^3+^W^6+^_2_O_6_(OH)_3_
##LOCALITY=Perak, Malaysia
##OWNER=RRUFF
##SOURCE=University of Arizona Mineral Museum
##DESCRIPTION=Colorless flattened lathlike crystals
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R050569
##MEASURED CHEMISTRY=(Y_0.70_Nd_0.10_Ce_0.07_Dy_0.07_La_0.04_Ca_0.02_)_Σ=1_W_2.00_(O_6.00_(OH)_2.98_(H_2_O)_0.02_)_Σ=9_ ; O, OH and H_2_O estimated by difference and charge balance.
##CELL PARAMETERS=a: 6.9500(3) b: 8.6352(7) c: 5.7641(6) alpha: 90. beta: 104.883(6) gamma: 90. volume: 334.33(4) crystal system: monoclinic
10.410, 5.404
10.420, 10.403
10.430, 5.402
10.440, 4.401
10.450, 5.399
10.460, 2.398
10.470, 3.397
10.480, 8.331
10.490, 3.342
10.500, 7.341
10.510, 5.340
10.520, 7.339
10.530, 6.338
10.540, 2.337
10.550, 3.336
10.560, 1.334
10.570, 8.333
10.580, 2.332
10.590, 3.330
10.600, 8.329
10.610, 1.672
10.620, 7.325
10.630, 10.323
10.640, 1.320
10.650, 7.318
10.660, 5.315
10.670, 3.312
10.680, 5.310
10.690, 11.307
10.700, 7.304
10.710, 6.302
10.720, 4.299
10.730, 5.293
10.740, 8.288
10.750, 10.286
10.760, 4.283
10.770, 4.280
10.780, 0.723
10.790, 3.274
10.800, 4.270
10.810, 7.289
10.820, 1.285
10.830, 2.283
10.840, 2.280
10.850, 2.277
10.860, 1.214
10.870, 5.210
10.880, 0.793
10.890, 1.204
10.900, 4.200
10.910, 5.290
10.920, 1.312
10.930, 1.252
10.940, 5.248
10.950, 6.245
10.960, 4.239
10.970, 7.236
10.980, 6.232
10.990, 4.229
11.000, 3.225
11.010, 2.222
11.020, 7.218
11.030, 4.215
11.040, 5.211
11.050, 1.208
11.060, 1.795
11.070, 2.201
11.080, 1.197
11.090, 13.194
11.100, 6.190
11.110, 1.186
11.120, 1.182
11.130, 3.119
11.140, 1.115
11.150, 6.111
11.160, 1.107
11.170, 3.103
11.180, 2.099
11.190, 3.096
11.200, 0.093
11.210, 5.089
11.220, 5.086
11.230, 6.025
11.240, 7.021
11.250, 6.018
11.260, 3.014
11.270, 4.011
11.280, 2.008
11.290, 8.004
11.300, 0.001
11.310, 1.939
11.320, 2.936
11.330, 0.068
11.340, 10.929
11.350, 8.925
11.360, 6.951
11.370, 2.947
11.380, 1.944
11.390, 4.940
11.400, 1.937
11.410, 6.933
11.420, 1.930
11.430, 4.927
11.440, 3.923
11.450, 5.920
11.460, 1.917
11.470, 1.086
11.480, 2.910
11.490, 4.933
11.500, 2.930
11.510, 2.925
11.520, 0.922
11.530, 1.918
11.540, 2.915
11.550, 0.911
11.560, 0.092
11.570, 5.931
11.580, 0.128
11.590, 5.868
11.600, 2.135
11.610, 2.860
11.620, 7.855
11.630, 3.850
11.640, 7.845
11.650, 5.841
11.660, 7.836
11.670, 2.831
11.680, 0.174
11.690, 3.916
11.700, 1.912
11.710, 3.907
11.720, 5.903
11.730, 7.898
11.740, 1.894
11.750, 9.889
11.760, 5.885
11.770, 3.880
11.780, 5.876
11.790, 8.872
11.800, 6.867
11.810, 7.747
11.820, 1.742
11.830, 2.738
11.840, 4.734
11.850, 1.729
11.860, 2.725
11.870, 4.721
11.880, 5.717
11.890, 6.712
11.900, 3.708
11.910, 6.704
11.920, 2.700
11.930, 11.696
11.940, 11.692
11.950, 8.688
11.960, 7.683
11.970, 2.679
11.980, 3.620
11.990, 3.616
12.000, 0.388
12.010, 7.608
12.020, 8.604
12.030, 5.600
12.040, 5.596
12.050, 4.592
12.060, 4.588
12.070, 1.584
12.080, 4.522
12.090, 6.518
12.100, 2.485
12.110, 0.489
12.120, 8.506
12.130, 2.502
12.140, 9.498
12.150, 4.494
12.160, 6.490
12.170, 5.487
12.180, 4.483
12.190, 4.480
12.200, 5.476
12.210, 6.473
12.220, 1.469
12.230, 1.466
12.240, 2.463
12.250, 6.459
12.260, 2.334
12.270, 12.330
12.280, 6.327
12.290, 5.324
12.300, 1.321
12.310, 6.318
12.320, 2.315
12.330, 6.313
12.340, 6.311
12.350, 11.309
12.360, 4.308
12.370, 14.306
12.380, 13.445
12.390, 8.459
12.400, 22.455
12.410, 29.454
12.420, 20.453
12.430, 14.452
12.440, 23.450
12.450, 20.449
12.460, 16.448
12.470, 7.448
12.480, 10.447
12.490, 4.446
12.500, 2.440
12.510, 0.439
12.520, 8.439
12.530, 3.431
12.540, 2.430
12.550, 0.570
12.560, 0.442
12.570, 4.442
12.580, 2.441
12.590, 2.441
12.600, 4.440
12.610, 7.515
12.620, 10.515
12.630, 6.514
12.640, 4.514
12.650, 9.513
12.660, 1.513
12.670, 4.441
12.680, 0.559
12.690, 1.516
12.700, 1.515
12.710, 3.515
12.720, 1.514
12.730, 7.514
12.740, 1.514
12.750, 0.513
12.760, 0.496
12.770, 3.503
12.780, 14.492
12.790, 0.492
12.800, 4.355
12.810, 1.355
12.820, 4.355
12.830, 7.355
12.840, 1.355
12.850, 4.355
12.860, 10.355
12.870, 7.355
12.880, 1.658
12.890, 6.355
12.900, 4.355
12.910, 3.354
12.920, 1.354
12.930, 9.365
12.940, 5.364
