##NAMES=Piemontite
##RRUFFID=R060905
##IDEAL CHEMISTRY=Ca_2_Mn^3+^Al_2_(Si_2_O_7_)(SiO_4_)O(OH)
##LOCALITY=Praborna mine, Aosta Valley, St. Marcel, Italy
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Elongated purple single crystals associated with albite and romeite, R060323
##DIFFRACTION SAMPLE DESCRIPTION=Powder
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction and chemical analysis
##URL=rruff.info/R060905
##MEASURED CHEMISTRY=(Ca_1.82_Mn^2+^_0.12_)_Σ=2_(Al_1.95_Mn^3+^_0.97_Fe^3+^_0.08_)_Σ=3_[Si_2.00_O_7_][Si_1.00_O_4_]O(OH) ; = lighter phase, and the darker phase is albite.
##CELL PARAMETERS=a: 8.891(1) b: 5.6995(3) c: 10.228(2) alpha: 90 beta: 114.99(1) gamma: 90 volume: 469.72(9) crystal system: monoclinic
11.10000, 18.79350
11.11000, 17.80020
11.12000, 31.80686
11.13000, 39.81371
11.14000, 47.82053
11.15000, 17.82731
11.16000, 24.83519
11.17000, 5.844530
11.18000, 6.853840
11.19000, 8.863123
11.20000, 14.87238
11.21000, 8.881617
11.22000, 6.890831
11.23000, 6.928346
11.24000, 1.937508
11.25000, 5.946644
11.26000, 5.955751
11.27000, 7.991869
11.28000, 10.00092
11.29000, 13.00995
11.30000, 11.01895
11.31000, 7.027918
11.32000, 7.036859
11.33000, 3.045773
11.34000, 3.054657
11.35000, 6.063515
11.36000, 7.072346
11.37000, 13.08115
11.38000, 0.1139950
11.39000, 9.754618
11.40000, 2.236794
11.41000, 7.770544
11.42000, 11.77787
11.43000, 5.124739
11.44000, 7.879794
11.45000, 7.884321
11.46000, 14.88884
11.47000, 1.007030
11.48000, 7.996828
11.49000, 9.000671
11.50000, 2.004508
11.51000, 6.008330
11.52000, 3.012142
11.53000, 9.012464
11.54000, 7.016249
11.55000, 11.02018
11.56000, 11.02409
11.57000, 7.027997
11.58000, 2.031887
11.59000, 3.035765
11.60000, 2.040025
11.61000, 2.955718
11.62000, 1.046871
11.63000, 3.090067
11.64000, 11.09263
11.65000, 15.09518
11.66000, 2.097708
11.67000, 13.10022
11.68000, 7.100090
11.69000, 5.102580
11.70000, 2.143520
11.71000, 6.147120
11.72000, 3.150705
11.73000, 7.154276
11.74000, 11.15783
11.75000, 0.9287500
11.76000, 2.933367
11.77000, 6.2020000E-02
11.78000, 4.942505
11.79000, 1.947029
11.80000, 3.951552
11.81000, 8.956074
11.82000, 3.960602
11.83000, 7.965134
11.84000, 2.967665
11.85000, 14.97220
11.86000, 7.976749
11.87000, 10.98130
11.88000, 13.98585
11.89000, 6.990410
11.90000, 11.99548
11.91000, 8.000550
11.92000, 12.00563
11.93000, 8.096204
11.94000, 9.101288
11.95000, 14.10639
11.96000, 3.111492
11.97000, 18.11659
11.98000, 13.12169
11.99000, 7.126980
12.00000, 3.132269
12.01000, 10.13755
12.02000, 5.142832
12.03000, 8.148104
12.04000, 8.153369
12.05000, 4.158630
12.06000, 15.16390
12.07000, 3.185740
12.08000, 0.7299740
12.09000, 4.274794
12.10000, 9.279548
12.11000, 6.209055
12.12000, 5.213797
12.13000, 15.21853
12.14000, 4.223265
12.15000, 11.22799
12.16000, 7.232715
12.17000, 6.237432
12.18000, 9.242144
12.19000, 13.24685
12.20000, 10.25155
12.21000, 0.7437470
12.22000, 10.26049
12.23000, 0.2651450
12.24000, 7.269792
12.25000, 15.27444
12.26000, 4.279074
12.27000, 12.28371
12.28000, 9.288340
12.29000, 6.292968
12.30000, 6.297593
12.31000, 11.30221
12.32000, 8.319092
12.33000, 9.323700
12.34000, 9.328479
12.35000, 13.59423
12.36000, 2.734201
12.37000, 10.73893
12.38000, 2.744101
12.39000, 5.749719
12.40000, 2.755308
12.41000, 7.760867
12.42000, 0.2336020
12.43000, 6.771612
12.44000, 5.776796
12.45000, 11.78196
12.46000, 0.2129140
12.47000, 4.791910
12.48000, 0.7967060
12.49000, 7.801471
12.50000, 2.806206
12.51000, 4.810913
12.52000, 12.81559
12.53000, 9.820242
12.54000, 9.824867
12.55000, 7.829464
12.56000, 9.834036
12.57000, 6.838587
12.58000, 15.83118
12.59000, 5.837178
12.60000, 2.701001
12.61000, 12.70696
12.62000, 1.287094
12.63000, 8.393275
12.64000, 10.39963
12.65000, 8.405978
12.66000, 1.587664
12.67000, 12.34762
12.68000, 10.35310
12.69000, 16.35859
12.70000, 5.364088
12.71000, 1.369593
12.72000, 3.375105
12.73000, 9.380642
12.74000, 10.38619
12.75000, 12.39174
12.76000, 13.39730
12.77000, 5.402860
12.78000, 7.408430
12.79000, 0.4140060
12.80000, 12.41959
12.81000, 13.23383
12.82000, 0.7605710
12.83000, 2.244655
12.84000, 17.24989
12.85000, 15.25515
12.86000, 5.260420
12.87000, 4.265709
12.88000, 3.271027
12.89000, 0.7236410
12.90000, 7.281333
12.91000, 2.286317
12.92000, 3.291310
12.93000, 3.296316
12.94000, 12.30133
