##NAMES=Cyanotrichite
##RRUFFID=R070500
##IDEAL CHEMISTRY=Cu^2+^_4_Al_2_S^6+^O_4_(OH)_12_&#183;2H_2_O
##LOCALITY=Vieja mine, Portrerillos, Chanaral Province, Atacama Region, Chile
##OWNER=RRUFF
##SOURCE=James Shigley
##DESCRIPTION=Radial aggregates of sky-blue fibers associated with green brochantite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R070500
14.42000, 7.369690
14.45000, 7.817665
14.48000, 4.395721
14.51000, 6.285454
14.54000, 4.771484
14.57000, 1.909424
14.60000, 1.834152
14.63000, 4.056374
14.66000, 7.792870
14.69000, 10.05624
14.72000, 9.022591
14.75000, 8.604492
14.78000, 8.509369
14.81000, 10.96259
14.84000, 16.19736
14.87000, 20.83778
14.90000, 26.24194
14.93000, 29.00002
14.96000, 28.37124
14.99000, 30.63359
15.02000, 34.50507
15.05000, 38.55064
15.08000, 37.15636
15.11000, 31.00817
15.14000, 25.69029
15.17000, 22.07903
15.20000, 17.62964
15.23000, 15.05027
15.26000, 11.12897
15.29000, 8.914146
15.32000, 6.540703
15.35000, 3.810730
15.38000, 1.827980
15.41000, 0.1067500
15.44000, 1.350945
15.47000, 1.825348
15.50000, 1.013580
15.53000, 0.2609100
15.56000, 0.3693540
15.59000, 0.5672840
15.62000, 0.6748280
15.65000, 0.5143200
15.68000, 7.3821999E-02
15.71000, 0.5660170
15.74000, 8.9584000E-02
15.77000, 0.9754710
15.80000, 0.1216200
15.83000, 3.264626
15.86000, 3.756851
15.89000, 2.662735
15.92000, 1.761665
15.95000, 1.564728
15.98000, 1.509781
16.01000, 0.1065980
16.04000, 1.6472001E-02
16.07000, 0.1384660
16.10000, 2.004799
16.13000, 3.333656
16.16000, 3.163963
16.19000, 3.359962
16.22000, 4.480980
16.25000, 4.962692
16.28000, 4.811581
16.31000, 5.395187
16.34000, 6.050907
16.37000, 6.156940
16.40000, 4.866081
16.43000, 7.279373
16.46000, 10.89161
16.49000, 11.53325
16.52000, 10.25235
16.55000, 9.072166
16.58000, 9.540428
16.61000, 7.951054
16.64000, 7.913017
16.67000, 9.427505
16.70000, 8.221256
16.73000, 9.090626
16.76000, 13.54847
16.79000, 18.85890
16.82000, 25.77640
16.85000, 32.47903
16.88000, 40.35038
16.91000, 51.47204
16.94000, 64.31383
16.97000, 84.14228
17.00000, 99.48045
17.03000, 117.7083
17.06000, 139.0179
17.09000, 155.2471
17.12000, 172.7410
17.15000, 174.7046
17.18000, 183.7269
17.21000, 182.9029
17.24000, 173.2815
17.27000, 165.3317
17.30000, 145.7577
17.33000, 127.3191
17.36000, 114.3997
17.39000, 98.77837
17.42000, 85.85385
17.45000, 75.33565
17.48000, 65.96788
17.51000, 59.37579
17.54000, 53.73653
17.57000, 48.30877
