##NAMES=Karibibite
##RRUFFID=R060307
##IDEAL CHEMISTRY=Fe^3+^_3_(As^3+^O_2_)_4_(As^3+^_2_O_5_)(OH)
##LOCALITY=Urucum, Municipio de Galilea, Minas Gerais, Brazil
##OWNER=RRUFF
##SOURCE=Michael Scott
##DESCRIPTION=Yellowish-brown acicular crystals lining cavities
##DIFFRACTION SAMPLE DESCRIPTION=Powder, using Mo radiation
##STATUS=The identification of this mineral is not yet confirmed.
##URL=rruff.info/R060307
16.24000, 201.1948
16.27000, 162.4861
16.30000, 118.9041
16.33000, 76.52344
16.36000, 40.58350
16.39000, 16.67261
16.42000, 8.622803
16.45000, 22.58057
16.48000, 31.08203
16.51000, 35.78198
16.54000, 30.83130
16.57000, 24.54468
16.60000, 11.62622
16.63000, 14.34399
16.66000, 49.51221
16.69000, 98.61377
16.72000, 151.2312
16.75000, 214.0681
16.78000, 288.5168
16.81000, 363.9985
16.84000, 457.1362
16.87000, 554.9980
16.90000, 666.3938
16.93000, 768.4187
16.96000, 838.9888
16.99000, 895.3296
17.02000, 952.7434
17.05000, 986.5483
17.08000, 1007.721
17.11000, 1010.889
17.14000, 999.5757
17.17000, 978.8923
17.20000, 949.9958
17.23000, 909.8225
17.26000, 860.9089
17.29000, 803.6128
17.32000, 735.5952
17.35000, 662.4370
17.38000, 591.7769
17.41000, 519.0552
17.44000, 454.8726
17.47000, 391.2976
17.50000, 315.8914
17.53000, 246.1028
17.56000, 185.3225
17.59000, 133.5103
17.62000, 88.05518
17.65000, 38.76782
17.68000, 6.687744
17.71000, 23.97485
17.74000, 46.83301
17.77000, 55.28882
17.80000, 51.42700
17.83000, 43.38599
17.86000, 42.09155
17.89000, 31.60425
17.92000, 6.387695
17.95000, 18.29956
17.98000, 46.68286
18.01000, 71.02197
18.04000, 95.69971
18.07000, 111.9971
18.10000, 125.8711
18.13000, 133.1687
18.16000, 138.8572
18.19000, 133.8711
18.22000, 126.1807
18.25000, 111.8652
18.28000, 102.3274
18.31000, 105.5186
18.34000, 96.79858
18.37000, 90.43335
18.40000, 85.56323
18.43000, 77.76782
18.46000, 72.80640
18.49000, 62.98047
18.52000, 54.58838
18.55000, 45.32104
18.58000, 37.19800
18.61000, 31.99927
18.64000, 31.20435
18.67000, 28.37378
18.70000, 32.72681
18.73000, 37.62402
18.76000, 47.11499
18.79000, 52.79980
18.82000, 51.13770
18.85000, 55.07910
18.88000, 65.09448
18.91000, 82.29272
18.94000, 106.2246
18.97000, 129.2595
19.00000, 160.8274
19.03000, 198.4385
19.06000, 236.8523
19.09000, 275.1995
19.12000, 312.8188
19.15000, 345.8816
19.18000, 354.7363
19.21000, 353.9646
19.24000, 350.9749
19.27000, 334.7773
19.30000, 313.8826
19.33000, 289.5198
19.36000, 255.7197
19.39000, 224.4316
19.42000, 198.9658
19.45000, 175.5818
19.48000, 140.9001
19.51000, 109.9202
19.54000, 87.39209
19.57000, 64.50610
19.60000, 37.26147
19.63000, 14.32837
19.66000, 2.308350
19.69000, 21.29614
19.72000, 19.50513
19.75000, 8.204834
19.78000, 7.898682
19.81000, 4.078125
19.84000, 8.558594
19.87000, 1.865234
19.90000, 2.240967
19.93000, 3.899170
19.96000, 4.161133
19.99000, 0.2805180
20.02000, 0.4848630
20.05000, 1.919189
20.08000, 3.256592
20.11000, 4.684326
20.14000, 0.3164060
20.17000, 0.4494630
20.20000, 3.354248
20.23000, 1.465820
20.26000, 2.748779
20.29000, 2.580078
20.32000, 0.3479000
20.35000, 5.363281
20.38000, 12.49512
20.41000, 13.68604
20.44000, 14.56958
20.47000, 21.60156
20.50000, 33.99902
20.53000, 51.73657
20.56000, 75.67285
20.59000, 97.35889
20.62000, 123.7009
20.65000, 160.7705
20.68000, 192.8977
20.71000, 224.8589
20.74000, 263.4998
20.77000, 304.7705
20.80000, 351.7603
20.83000, 402.2803
20.86000, 441.9399
20.89000, 484.6389
20.92000, 499.7356
20.95000, 520.2461
20.98000, 506.3740
21.01000, 486.6418
21.04000, 461.0588
21.07000, 440.5361
21.10000, 416.3369
21.13000, 392.1995
21.16000, 369.4360
21.19000, 347.4316
21.22000, 326.9373
21.25000, 301.5522
21.28000, 288.0776
21.31000, 269.8425
21.34000, 261.7383
21.37000, 261.6724
21.40000, 253.4392
21.43000, 244.3928
21.46000, 228.6501
21.49000, 205.2803
21.52000, 180.3457
21.55000, 151.8438
21.58000, 133.7432
