##NAMES=Schwertmannite
##RRUFFID=R220002
##IDEAL CHEMISTRY=Fe^3+^_16_O_16_(OH)_9.6_(S^6+^O_4_)_3.2_&#183;10H_2_O
##LOCALITY=A ditch in the Tinto river basin, SW Spain
##OWNER=Annika Parviainen
##SOURCE=Annika Parviainen
##DESCRIPTION=Sample LN-2 from Parviainen et al (2015). A crusty surface with a layered texture consisting of spherical aggregates exhibiting the three major phases schwertmannite, jarosite, and goethite
##DIFFRACTION SAMPLE DESCRIPTION=Powder, sharp peak is quartz
##STATUS=The identification of this mineral has been confirmed by X-ray diffraction.
##URL=rruff.info/R220002
7.030000, 20.92126
7.038400, 1.945435
7.046800, 14.90283
7.055100, 24.48859
7.063500, 19.08911
7.071800, 4.723633
7.080200, 21.42303
7.088500, 23.91541
7.096900, 19.04535
7.105300, 12.64746
7.113600, 17.08234
7.122000, 36.45105
7.130300, 19.20337
7.138700, 3.037842
7.147000, 27.80243
7.155400, 12.40771
7.163700, 11.97736
7.172100, 11.15430
7.180500, 15.58911
7.188800, 7.790894
7.197200, 18.38977
7.205500, 6.316650
7.213900, 23.93774
7.222200, 26.38885
7.230600, 25.93768
7.238900, 7.542725
7.247300, 39.24634
7.255700, 10.70825
7.264000, 26.91681
7.272400, 9.354980
7.280700, 12.96570
7.289100, 27.49988
7.297400, 23.73822
7.305800, 0.1495360
7.314200, 4.212097
7.322500, 13.80219
7.330900, 9.241150
7.339200, 16.92877
7.347600, 17.79950
7.355900, 27.78125
7.364300, 0.8000490
7.372600, 5.713562
7.381000, 20.71228
7.389400, 15.20593
7.397700, 25.01648
7.406100, 9.968018
7.414400, 17.20679
7.422800, 5.453247
7.431100, 15.00671
7.439500, 20.29779
7.447800, 13.78217
7.456200, 6.383850
7.464600, 13.58228
7.472900, 16.09674
7.481300, 1.639221
7.489600, 18.55634
7.498000, 4.280701
7.506300, 24.29163
7.514700, 15.95343
7.523100, 23.76251
7.531400, 14.67908
7.539800, 29.94696
7.548100, 1.474426
7.556500, 30.68530
7.564800, 10.49780
7.573200, 30.99219
7.581500, 2.707581
7.589900, 25.78168
7.598300, 30.83124
7.606600, 27.54633
7.615000, 19.06781
7.623300, 7.644592
7.631700, 21.39532
7.640000, 25.63037
7.648400, 17.09637
7.656700, 4.045288
7.665100, 17.05774
7.673500, 22.12689
